iter	Logloss
0	0.6768966081
1	0.6617704646
2	0.6485367522
3	0.6380593431
4	0.6273706126
5	0.6191212895
6	0.6106806059
7	0.601849558
8	0.5957301337
9	0.589211101
10	0.582659313
11	0.5769098844
12	0.5716655366
13	0.5672558882
14	0.5629491577
15	0.5592171455
16	0.5553315919
17	0.5520274932
18	0.5486614658
19	0.545235969
20	0.5420769667
21	0.5389308646
22	0.5362982966
23	0.5337910677
24	0.5300663886
25	0.5272248769
26	0.524709268
27	0.5224353754
28	0.5202019412
29	0.5179336184
30	0.5150498363
31	0.5124887443
32	0.5104167425
33	0.5082060609
34	0.5062246534
35	0.5042789299
36	0.5018914714
37	0.5000636108
38	0.4984550862
39	0.4971550382
40	0.4950951739
41	0.4935374653
42	0.4916701757
43	0.490374561
44	0.4884011403
45	0.4870386222
46	0.4856631859
47	0.4843844765
48	0.4828218468
49	0.4815276315
50	0.4800131998
51	0.4787767468
52	0.4774814358
53	0.4762705768
54	0.4747205793
55	0.4736810707
56	0.4719567236
57	0.4705268116
58	0.4694920439
59	0.4685039254
60	0.4673463752
61	0.4663610595
62	0.4653672797
63	0.4644395874
64	0.4632873573
65	0.4622128491
66	0.4611515934
67	0.4602023819
68	0.4593123447
69	0.4582902411
70	0.4573910002
71	0.4564024879
72	0.4556159995
73	0.4548463455
74	0.4540457701
75	0.4530876744
76	0.4521698007
77	0.4510138188
78	0.4501812002
79	0.4490820964
80	0.4483452122
81	0.447212232
82	0.4467202634
83	0.4459949803
84	0.4451340101
85	0.4445064683
86	0.4438018007
87	0.4432405735
88	0.4425091942
89	0.4413927589
90	0.4406516864
91	0.4400679488
92	0.4394150533
93	0.4388575294
94	0.4382881742
95	0.4375922131
96	0.4368745958
97	0.4361100361
98	0.4354339806
99	0.4346362779
100	0.4342035518
101	0.4334718576
102	0.4328093049
103	0.4319715094
104	0.4313832665
105	0.4306443197
106	0.4298699839
107	0.4294468261
108	0.4287814033
109	0.4281533974
110	0.4275972468
111	0.4269896447
112	0.4264731599
113	0.4257615641
114	0.4254006237
115	0.4247271649
116	0.4240668611
117	0.4234366351
118	0.4228994361
119	0.4223597145
120	0.4219644269
121	0.4214755743
122	0.4208779193
123	0.4204075106
124	0.4199013189
125	0.4193236406
126	0.4187566059
127	0.4182396991
128	0.4176821017
129	0.4173342693
130	0.4167566767
131	0.4162611548
132	0.4158716607
133	0.4152992513
134	0.4149100275
135	0.4144873959
136	0.4140919468
137	0.4136132136
138	0.4132639206
139	0.4127572349
140	0.4123943731
141	0.4119582845
142	0.4114500654
143	0.4110141724
144	0.4105617611
145	0.4101449799
146	0.4098101455
147	0.4093001465
148	0.4087233876
149	0.4083247744
150	0.4077892103
151	0.4074687688
152	0.4069999102
153	0.4067244082
154	0.4062084173
155	0.4058524561
156	0.4054660894
157	0.4049714445
158	0.4046009829
159	0.4040829916
160	0.4037367037
161	0.4034000098
162	0.4030448858
163	0.4024115973
164	0.4020604287
165	0.4016850434
166	0.4012507085
167	0.4008305962
168	0.4004907194
169	0.4002428321
170	0.3996681979
171	0.3992933811
172	0.3988216241
173	0.3984773011
174	0.3979360291
175	0.3976090211
176	0.3971768195
177	0.3968549059
178	0.3965767895
179	0.3961122608
180	0.395793734
181	0.3954604442
182	0.3951729879
183	0.3948959508
184	0.394545311
185	0.3940659421
186	0.3937107494
187	0.3933026998
188	0.3928908833
189	0.3926084605
190	0.3922116882
191	0.3919050305
192	0.3916085991
193	0.3912488323
194	0.3908908047
195	0.3905028407
196	0.3900691045
197	0.3897446008
198	0.3893461127
199	0.3888655233
200	0.3883770852
201	0.3880394196
