iter	Passed	Remaining
0	6	6193
1	11	5777
2	16	5639
3	22	5523
4	27	5532
5	34	5650
6	41	5886
7	47	5870
8	52	5760
9	57	5654
10	62	5601
11	67	5565
12	72	5525
13	78	5494
14	88	5798
15	95	5843
16	100	5801
17	105	5749
18	110	5715
19	116	5684
20	121	5644
21	126	5616
22	132	5636
23	139	5674
24	145	5661
25	150	5629
26	155	5609
27	161	5620
28	167	5597
29	172	5573
30	177	5557
31	184	5589
32	190	5594
33	196	5581
34	201	5555
35	206	5525
36	211	5512
37	216	5490
38	221	5468
39	227	5454
40	233	5451
41	238	5439
42	244	5433
43	249	5416
44	254	5394
45	259	5381
46	264	5367
47	269	5345
48	274	5336
49	281	5341
50	286	5338
51	292	5339
52	297	5322
53	303	5310
54	309	5321
55	315	5320
56	321	5313
57	326	5302
58	331	5291
59	336	5276
60	342	5270
61	347	5258
62	352	5244
63	358	5242
64	363	5229
65	368	5215
66	373	5203
67	378	5193
68	383	5180
69	389	5178
70	395	5172
71	403	5197
72	408	5192
73	414	5181
74	419	5170
75	424	5164
76	429	5152
77	435	5145
78	440	5138
79	445	5125
80	450	5114
81	456	5109
82	461	5099
83	467	5095
84	472	5089
85	477	5076
86	482	5067
87	488	5063
88	493	5052
89	498	5042
90	504	5035
91	509	5029
92	514	5020
93	520	5013
94	525	5003
95	530	4993
96	535	4987
97	541	4981
98	546	4970
99	551	4963
100	556	4957
101	562	4949
102	567	4945
103	573	4937
104	578	4929
105	583	4918
106	588	4912
107	593	4901
108	598	4895
109	604	4889
110	609	4880
111	614	4874
112	620	4869
113	625	4859
114	630	4851
115	635	4844
116	640	4836
117	645	4827
118	651	4820
119	656	4813
120	661	4803
121	666	4797
122	672	4791
123	676	4782
124	682	4777
125	687	4770
126	692	4761
127	697	4754
128	703	4750
129	708	4743
130	714	4736
131	719	4731
132	724	4723
133	729	4716
134	735	4711
135	740	4703
136	745	4696
137	750	4690
138	756	4684
139	761	4678
140	766	4672
141	772	4664
142	777	4656
143	782	4652
144	787	4645
145	792	4638
146	798	4632
147	803	4627
148	809	4621
149	814	4614
150	819	4609
151	824	4601
152	830	4597
153	836	4593
154	841	4585
155	846	4579
156	851	4574
157	857	4568
158	863	4565
159	868	4558
160	873	4551
161	878	4545
162	884	4539
163	889	4536
164	895	4530
165	901	4528
166	907	4525
167	912	4519
168	917	4512
169	922	4505
170	928	4500
171	933	4495
172	938	4488
173	943	4481
174	949	4478
175	955	4474
176	961	4469
177	966	4462
178	971	4454
179	976	4447
180	981	4440
181	986	4432
182	991	4427
183	997	4422
184	1003	4419
185	1009	4417
186	1015	4414
187	1020	4407
188	1029	4417
189	1037	4421
190	1044	4423
191	1050	4420
192	1056	4416
193	1062	4413
194	1067	4408
195	1072	4400
196	1078	4394
197	1085	4396
198	1093	4400
199	1099	4398
200	1105	4395
201	1113	4397
202	1119	4393
203	1125	4390
204	1131	4389
205	1139	4393
206	1145	4388
207	1150	4381
208	1156	4375
209	1161	4369
210	1166	4362
211	1171	4354
212	1176	4347
213	1184	4350
214	1191	4350
215	1196	4343
216	1201	4335
217	1206	4328
218	1212	4322
219	1216	4314
220	1222	4308
221	1228	4303
222	1234	4302
223	1241	4300
224	1246	4295
225	1252	4288
226	1257	4282
227	1263	4278
228	1268	4271
229	1274	4266
230	1287	4285
231	1293	4280
232	1298	4275
233	1305	4272
